Country,Year,Annual Surface Temperature Change (°C)
Australia,2018,1.129
Canada,2018,0.477
"China, P.R.: Mainland",2018,1.361
Russian Federation,2018,2.043
United States,2018,1.276
Australia,2019,1.422
Canada,2019,1.311
"China, P.R.: Mainland",2019,1.422
Russian Federation,2019,2.178
United States,2019,1.034
Australia,2020,1.416
Canada,2020,1.128
"China, P.R.: Mainland",2020,1.62
Russian Federation,2020,3.691
United States,2020,1.324
Australia,2021,0.629
Canada,2021,2.515
"China, P.R.: Mainland",2021,1.701
Russian Federation,2021,1.643
United States,2021,1.144
Australia,2022,0.754
Canada,2022,1.268
"China, P.R.: Mainland",2022,1.906
Russian Federation,2022,2.261
United States,2022,1.217
