Country Name,Country Code,Indicator Name,Emission Rate,,,
Aruba,ABW,CO2 emissions (metric tons per capita),,,,
Africa Eastern and Southern,AFE,CO2 emissions (metric tons per capita),0.795419908400246,,,
Afghanistan,AFG,CO2 emissions (metric tons per capita),0.223478872007068,,,
Africa Western and Central,AFW,CO2 emissions (metric tons per capita),0.463150273298324,,,
Angola,AGO,CO2 emissions (metric tons per capita),0.592742967779037,,,
Albania,ALB,CO2 emissions (metric tons per capita),1.54455011524574,,,
Andorra,AND,CO2 emissions (metric tons per capita),5.77714799227799,,,
Arab World,ARB,CO2 emissions (metric tons per capita),3.92907774447049,,,
United Arab Emirates,ARE,CO2 emissions (metric tons per capita),20.2522716801426,,,
Argentina,ARG,CO2 emissions (metric tons per capita),3.4056175404138,,,
Armenia,ARM,CO2 emissions (metric tons per capita),2.40468376195106,,,
American Samoa,ASM,CO2 emissions (metric tons per capita),,,,
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),5.12173012173012,,,
Australia,AUS,CO2 emissions (metric tons per capita),14.7726575989848,,,
Austria,AUT,CO2 emissions (metric tons per capita),6.63264573733546,,,
Azerbaijan,AZE,CO2 emissions (metric tons per capita),3.39884957289227,,,
Burundi,BDI,CO2 emissions (metric tons per capita),0.0583840218352736,,,
Belgium,BEL,CO2 emissions (metric tons per capita),7.39813065774681,,,
Benin,BEN,CO2 emissions (metric tons per capita),0.631204805964476,,,
Burkina Faso,BFA,CO2 emissions (metric tons per capita),0.253533188747507,,,
Bangladesh,BGD,CO2 emissions (metric tons per capita),0.510647559277094,,,
Bulgaria,BGR,CO2 emissions (metric tons per capita),4.92328037940501,,,
Bahrain,BHR,CO2 emissions (metric tons per capita),21.9769078065259,,,
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),6.04225147673512,,,
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),6.31230587447531,,,
Belarus,BLR,CO2 emissions (metric tons per capita),5.84240729590088,,,
Belize,BLZ,CO2 emissions (metric tons per capita),1.74110771521393,,,
Bermuda,BMU,CO2 emissions (metric tons per capita),,,,
Bolivia,BOL,CO2 emissions (metric tons per capita),1.53946469560316,,,
Brazil,BRA,CO2 emissions (metric tons per capita),1.94252335631484,,,
Barbados,BRB,CO2 emissions (metric tons per capita),3.90487115816925,,,
Brunei Darussalam,BRN,CO2 emissions (metric tons per capita),21.7058124398664,,,
Bhutan,BTN,CO2 emissions (metric tons per capita),1.34005431673023,,,
Botswana,BWA,CO2 emissions (metric tons per capita),2.2634631138367,,,
Central African Republic,CAF,CO2 emissions (metric tons per capita),0.044282072685485,,,
Canada,CAN,CO2 emissions (metric tons per capita),13.5993749178773,,,
Central Europe and the Baltics,CEB,CO2 emissions (metric tons per capita),5.85720584954467,,,
Switzerland,CHE,CO2 emissions (metric tons per capita),4.04207281475341,,,
Channel Islands,CHI,CO2 emissions (metric tons per capita),,,,
Chile,CHL,CO2 emissions (metric tons per capita),4.39515106359663,,,
China,CHN,CO2 emissions (metric tons per capita),7.75613790659769,,,
Cote d'Ivoire,CIV,CO2 emissions (metric tons per capita),0.406347356890383,,,
Cameroon,CMR,CO2 emissions (metric tons per capita),0.37478265803136,,,
"Congo, Dem. Rep.",COD,CO2 emissions (metric tons per capita),0.0325847808481787,,,
"Congo, Rep.",COG,CO2 emissions (metric tons per capita),1.25459166977367,,,
Colombia,COL,CO2 emissions (metric tons per capita),1.55225942282078,,,
Comoros,COM,CO2 emissions (metric tons per capita),0.407112182850678,,,
Cabo Verde,CPV,CO2 emissions (metric tons per capita),1.06515172319099,,,
Costa Rica,CRI,CO2 emissions (metric tons per capita),1.35999554957394,,,
